PRESIDENT 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Office,State,RaceDate,CensusPop,Area,RedistrictedDate,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,California,20161108,"9,818,605",LOS ANGELES,N/A,"3,434,308","769,743","Trump, Donald J.",Challenger,"2,464,364","Clinton, Hillary Rodham",Challenger,I,"88,968","Johnson, Gary E.",Challenger,"111,233","1,694,621",D,22.41,71.76,2.59,3.24,23.80,76.20,,,"Stein, Jill (Independent) 76,465; McMullin, Evan (Independent) 4,607; Sanders, Bernard (Write-in) 7,724; La Riva, Gloria (Write-in) 21,993; Kotlikoff, Laurence (Write-in) 155; White, Jerry (Write-in) 15"
President,California,20161108,"150,865",MADERA,N/A,"43,112","23,357","Trump, Donald J.",Challenger,"17,029","Clinton, Hillary Rodham",Challenger,I,"1,558","Johnson, Gary E.",Challenger,"1,168","6,328",R,54.18,39.50,3.61,2.71,57.83,42.17,,,"Stein, Jill (Independent) 644; McMullin, Evan (Independent) 145; Sanders, Bernard (Write-in) 183; La Riva, Gloria (Write-in) 187"
President,California,20161108,"252,409",MARIN,N/A,"139,273","21,771","Trump, Donald J.",Challenger,"108,707","Clinton, Hillary Rodham",Challenger,I,"4,180","Johnson, Gary E.",Challenger,"4,615","86,936",D,15.63,78.05,3.00,3.31,16.69,83.31,,,"Stein, Jill (Independent) 3,109; McMullin, Evan (Independent) 249; Sanders, Bernard (Write-in) 896; La Riva, Gloria (Write-in) 351; Kotlikoff, Laurence (Write-in) 6"
President,California,20161108,"18,251",MARIPOSA,N/A,"8,877","5,185","Trump, Donald J.",Challenger,"3,122","Clinton, Hillary Rodham",Challenger,I,326,"Johnson, Gary E.",Challenger,244,"2,063",R,58.41,35.17,3.67,2.75,62.42,37.58,,,"Stein, Jill (Independent) 189; La Riva, Gloria (Write-in) 55"
President,California,20161108,"87,841",MENDOCINO,N/A,"37,477","10,888","Trump, Donald J.",Challenger,"22,079","Clinton, Hillary Rodham",Challenger,I,"1,331","Johnson, Gary E.",Challenger,"3,179","11,191",D,29.05,58.91,3.55,8.48,33.03,66.97,,,"Stein, Jill (Independent) 2,108; McMullin, Evan (Independent) 124; Sanders, Bernard (Write-in) 789; La Riva, Gloria (Write-in) 151; Kotlikoff, Laurence (Write-in) 3"
President,California,20161108,"255,793",MERCED,N/A,"70,789","28,725","Trump, Donald J.",Challenger,"37,317","Clinton, Hillary Rodham",Challenger,I,"2,410","Johnson, Gary E.",Challenger,"2,337","8,592",D,40.58,52.72,3.40,3.30,43.50,56.50,,,"Stein, Jill (Independent) 1,209; McMullin, Evan (Independent) 162; Sanders, Bernard (Write-in) 506; La Riva, Gloria (Write-in) 454"
President,California,20161108,"9,686",MODOC,N/A,"3,788","2,696","Trump, Donald J.",Challenger,877,"Clinton, Hillary Rodham",Challenger,I,122,"Johnson, Gary E.",Challenger,93,"1,819",R,71.17,23.15,3.22,2.46,75.45,24.55,,,"Stein, Jill (Independent) 50; McMullin, Evan (Independent) 11; Sanders, Bernard (Write-in) 19; La Riva, Gloria (Write-in) 13"
President,California,20161108,"14,202",MONO,N/A,"5,276","2,111","Trump, Donald J.",Challenger,"2,773","Clinton, Hillary Rodham",Challenger,I,222,"Johnson, Gary E.",Challenger,170,662,D,40.01,52.56,4.21,3.22,43.22,56.78,,,"Stein, Jill (Independent) 142; McMullin, Evan (Independent) 3; Sanders, Bernard (Write-in) 2; La Riva, Gloria (Write-in) 23"
President,California,20161108,"415,057",MONTEREY,N/A,"133,408","34,895","Trump, Donald J.",Challenger,"89,088","Clinton, Hillary Rodham",Challenger,I,"4,547","Johnson, Gary E.",Challenger,"4,878","54,193",D,26.16,66.78,3.41,3.66,28.14,71.86,,,"Stein, Jill (Independent) 2,823; McMullin, Evan (Independent) 358; Sanders, Bernard (Write-in) 1,025; La Riva, Gloria (Write-in) 661; Kotlikoff, Laurence (Write-in) 2; White, Jerry (Write-in) 1"
President,California,20161108,"136,484",NAPA,N/A,"61,372","17,411","Trump, Donald J.",Challenger,"39,199","Clinton, Hillary Rodham",Challenger,I,"2,551","Johnson, Gary E.",Challenger,"2,211","21,788",D,28.37,63.87,4.16,3.60,30.76,69.24,,,"Stein, Jill (Independent) 1,262; McMullin, Evan (Independent) 154; Sanders, Bernard (Write-in) 585; La Riva, Gloria (Write-in) 207"
